sentiment,review_body,product_category
-1,I'm normally a small in retailer tops. i ordered a small  and the top fit well in the shoulders and in the upper (more fitted) part. it all went horribly wrong from there. the top billowed out at the bottom and fit like a circus tent  instantly adding a good 50 pounds to my frame. this was such a disappointment  as the pattern is beautiful and the fabric is high quality.,Blouses
-1,I couldn't wait to get this top in the mail since they didn't have it at my local retailer  but i was so disappointed in both the quality and fit. the white is completely see-thru  i can't believe how sheer the material is - especially for the price. even as the shirt is lying down  i can see through both layers of it... the fit runs small  and short.,Blouses
-1,Poor quality. i expected much more from the material.,Blouses
-1,I was so looking forward to receiving this in the mail! when it arrived  i was very disappointed. the color is more mauve than dusty pink  and the fabric is stiff and wrinkled.....not at all what i expect velvet to be (flowy and soft). the fabric seems very cheap for the price point.  i usually like floreat  but this one is headed right back to the store!,Blouses
-1,This shirt looks nothing like the fit in the pictures. it is short and very wide. i had read the previous reviews and thought i could take it in on the sides some but it is literally the shape of a trapezoid.,Blouses
-1,Although the material of this top is beautiful and the quality is nice as well  it really did not lay right on me. i'm a 34d  and i got my usual size in a small. the arm holes were a bit too big  the waist was too wide and it overall looked like a bib on me.,Blouses
-1,"The shirt is beautiful  but fits much too small. the stitching limits the space in your shoulders  and the hem too short. a petite frame would be able to pull this off- but i am a 5.10"" medium  and the shirt didn't work in every direction.",Blouses
-1,The pattern is very adorable. unfortunately the design is flawed. sizing is great at the waist and hip  and the length is spot on  but the top is wide. it's strange because i don't think it would fit someone that was bustier than me either.  will return. i'm considering buying again on sale and having a tailor correct it.,Blouses
-1,I wanted to love this shirt so much! i got this as a gift for christmas in the black. the first time i wore the shirt 3 of the buttons on the back fell off. keep in mind that they are not decorative and they held the shirt together. needless to say i was not so pleased to have my shirt fly open from the back. retailer and their amazing customer service took this shirt back no problem  but i wanted to give the fair warning!,Blouses
0,I'm so disappointed with the fit of this top. it is extremely short  even for my 5'2 frame. sizing up will not fix the length. too bad  because the shirt is cute.,Blouses
0,I tried this on in my usual size and it was tight through the chest because of the lining. i would have preferred to wear a cami beneath and then it may have worked. the color and pattern are gorgeous  the fabric feels a bit weird  kind of dry and rough? would have liked to see this in a longer length  and more tapered. it is an absolute pregnant top. so sad its so pretty!,Blouses
0,I like this top. in the photo  the white in the print stands out. in-person  the white areas of the print (not embroidery) is dull  more like beige. the flowers and embroidery itself looks good  the print looks good. it is a swing top  looks better on a slender frame. such loose fitting tops just don't look good on my curvy frame. i sized down  could have tried 2 sizes down but the shoulder area was more fitted. i recommend the top for a more slender frame or if you like very loose fitting tops.,Blouses
0,As the other reviewer said  this top is pretty short. nice design but i wish it was a little longer  and i am short... i tried on xxs regular  xs petite and xs regular.    xxs was closest to flattering around the top part (shoulders  cehst)  but stil la bit short. the petite was jsut too short and xs regular  a bit longer  but a little loose... os hte fit jsut ddind't work. i may wait for sale on this  but probably something beter wil lcome along.    great for those who want to show their assets,Blouses
0,The shirt is great except for the arms!! the band around the arms are tight and it makes the arm holes gape weirdly unless you are standing with your arms straight down by your side.,Blouses
0,This top is beautiful to look at but did not fit me like the model. it was tight across the bust but very poofy at the bottom  which normally i like  but not this time. sad.,Blouses
0,When i first saw this shirt online i was so excited! it reminded me of why i love shopping in the fall! unfortunately when it came i was so disappointed. in person the fabric and the colors are gorgeous. it's fairly lightweight for a flannel but so soft and comfy cozy. i love the navy/cream polka dot that is on the inside of the cuffs and collar as well  and the buttons are cute too! when i put it on it was so comfortable  but it made me look like i was pregnant! especially from the side it just,Blouses
0,This may be lovely on some people but it didn't work on me at all. i thought it would have some swing to it but the bottom hem was tight. if i had gone up a size  the top would have been huge. the bib wasn't flattering on me and it's also quite sheer. too bad because the print is great. maybe if you're athletic with slim hips you can manage it. i think if you are busty this could look like maternity wear on you. back it went  sadly.,Blouses
0,I had such high hopes for this top. it is beautiful but it is very uncomfortable! the lace/beadwork is extremely itchy. the button at the neck seems cheap and i was worried it would fall off. the beadwork and lace puckered on my shoulders making the fit off for me.,Blouses
1,I bought this tank in the blue popsicle print  and i think it's cuter in person than it is online. the beautiful pastel colors on the popsicles really stand out and make it special. i am normally a size 4-6  and the small fits me perfectly. also  i appreciate that it's lined. i wore it with skinnies  and received lots of compliments. it's the perfect tank for summer!,Blouses
1,This top is very feminie  i love hte pelats and flower details. it can be  however  a bit boxy  i think if you have wider hips  i might avoid. great to go with skinny pants/ejans  though. could size down  if shoulders are not too wide...,Blouses
1,Adorable top! sweet but not too sweet  can go either casual or dressy depending on what it is paired with. i was looking for cropped tops as that silhouette works better for my proportions with the plethora of cropped bottoms that are in stores. as another reviewer mentioned  it is lined so no cami is necessary. the label says dry clean only however  i have washed it in a mesh bag on gentle in cold water and hung to dry without any issues. the dry cleaning warning may be because of the lace on t,Blouses
1,This tank caught my eye when it first came out couple of months ago  love the colors and the embroidery especially. the colors on top beautifu and it will complement any skin tone and the bottom is neutral so that this top will go with any bottom. this flows too goes great with skinny jeans and flats or put a strappy heels on and it's perfect for evening outings.,Blouses
1,I don't usually wear this much color  but i'm so glad i purchased this top. it is really cute on and professional enough for work  but with a tank underneath and the buttons undone  its casual too. i have received several compliments both times i have worn the shirt. sleeves are a bit long.,Blouses
1,"Beautiful shirt  hits me a little higher. i'm not sure i'm going to keep it just because i have something similar but its a beautiful top. i'm 5'6"" and carrying a little extra baby weight right now so i'm an 8-10 instead of my usual 6-8. i ordered an 8 and it fit well.",Blouses
1,This is a gorgeous  well-fitting top! i was hesitant to even try it on because i was sure it would require a strapless bra  which i avoid. nope. worked perfect with my nude bra. i am 32d so need a real bra  but wore an unlined  underwire bra with no show through. great with denim shorts or more polished with dressy pants or dark jeans.,Blouses
1,I couldn't resist this basic white button down with the cute side buttons that added some interest. i bought my usual size large and it fit perfectly. the soft substantial fabric from cloth and stone never disappoints. i love the longer cut since i'm 5-10 and love a long shirt to hide the belly pudge. the blue is darker than the online picture shows and i'll probably be going back for that but at almost $100 i'm hoping it'll go on sale.,Blouses
1,I am always on the hunt for a white shirt that is not too sheer  so that i can wear it without a cami underneath. on that count  this top is a winner! regarding the fit  it is a shorter top  so i am not sure that it would be able to be tucked in a bottom for most people. i am short waisted  and i wouldn't be able to tuck it in. in fact  i think it is really meant to have an almost cropped fit. fyi: 36c (34d)  broad shoulders/back  short waist - in a fitted shirt i take a 10/12  but i tried this,Blouses
-1,This is an absolutely beautiful dress  but arrived with several holes in it!,Dresses
-1,Oh such a classic retailer look for summer! a vintage pattern on a crisp cotton fabric. i was immediately drawn to it. but wait- there is a sort of wrap around tie at the waist  creating the look of an apron. yes. it looks like one is wearing a full apron. or scrub dress.   why?? this would have been sooo much better as a simple shift or a skirt/blouse combo.,Dresses
-1,"I love this dress as far as the fit goes. it makes my curvy figure loook even better with how it's cut. that being said the different patterns over each boob made the dress look crazy. it makes you look quite lopsided in the chest. wasn't just me  but my store people also agreed. had the pattern on the chest been the same it would be great  but even though my boobs are of ""mostly"" equal size  they looked too crazy. it's quite noticeable on. so sad:(",Dresses
-1,I fell in love with this dress but when i received it in the mail  i was really surprised to see that unlike the picture online  the slip underneath is a nude color. it fit well and i decided to keep it. i wore it for the first time today and felt great in it. i was driving with my son in the back seat  i turned to hand him something and the entire right side of the dress (where the crocheting is) ripped open!! i cannot believe how poor the quality is at this price!,Dresses
-1,I really wanted to love this dress  but i couldn't. it ran large and heavy. rather than a sleek cocktail dress  it felt more like a heavy sack once i put it on. there was one upside: the drape in the back did not appear to drop quite as low  so finding a bra to wear under the dress might be easier than if it draped as low as it appears in the picture.,Dresses
-1,This dress looks and feels cheap. the white material is stiff and does not iron nicely. the grey sweater is super thin and very cheap looking. overall  a pretty horrible dress. save your money ,Dresses
-1,First of all  this is not pullover styling. there is a side zipper. i wouldn't have purchased it if i knew there was a side zipper because i have a large bust and side zippers are next to impossible for me.  second of all  the tulle feels and looks cheap and the slip has an awkward tight shape underneath.  not at all what is looks like or is described as. sadly will be returning  but i'm sure i will find something to exchange it for!,Dresses
-1,I ordered the ivory of this dress  expecting it to be a nice dress i could wear into my second trimester of pregnancy. instead  i received a dress that looks like a ugly  vintage-gone-wrong curtain of fabric. the 'ivory' is the color of yellowed newspapers. the fabric was cheap and had thread pieces sticking up all over the place. i would've been better off sewing myself a dress out of drapes a la gone with the wind or sound of music. the fit isn't that great  either. big and boxy. it could acco,Dresses
-1,This dress looks very beautiful on the model shown. unfortunately  when i tried it on  it did not flow as nicely as i would have liked it to. i also didn't care much for the waist ties on the side. an elastic waist might have been better.,Dresses
0,I was very excited when this dress arrived in the mail. the fabric is so comfortable  but the print was overwhelming. it is also very tight on the top and i got lost in the fabric at the bottom. i had to return it.,Dresses
0,I was excited to receive this dress because it seemed like a beautiful  breezy dress for summer. unfortunately i didn't find the fit to be very flattering. as two other reviewers mentioned there is too much fabric creating an odd bunching especially at the back waistline. i also found the dress to be a little tight across the bustline  upper arms and shoulders. the bunching can be improved by pulling the fabric of the dress forward in the front but this creates more of a plunging neckline than i,Dresses
0,I ordered this online and was completely underwhelmed in person. the pattern didn't pop at all and the fit was just ok. it kind of bunched weird in the breast area. i usually love plenty but this is a return.,Dresses
0,This dress was an adorable a-line in the front and a shift dress (no pleats) in the back. tack onto that a high-low hemline and it's just trying to be too many things. would've loved to see this dress as a true a-line/fit-and-flare. it would've been perfect. fits true to size.,Dresses
0,This is a lightweight knit dress that is well-designed but very form-fitting. i decided to return it because at almost 40 there are parts of my body that i don't need to show  but if you're in great shape or willing to wear shape wear  this would be super cute.,Dresses
0,Looks beautiful online but has too much material and the zipper catches on the lace. also runs very large  i am normally a small but would need and xs in this dress,Dresses
